idx,task_id,id,name,city,input_address,old_qc_status,new_qc_status,old_qc_score,new_qc_score,old_risk_dims,new_risk_dims,old_addr_status,new_addr_status,old_addr_issue_code,new_addr_issue_code,old_addr_hard_conflict,new_addr_hard_conflict,old_addr_explanation,new_addr_explanation,changed_qc,changed_address,error
1,9670dace-1061-4fe9-8920-7af8c9c8f62d_goverment_20260326,D3B22078D23C11EE84286805CACD826C,南湖街道办事处,深圳市,深圳市罗湖区南极路21号南华大厦附楼,unqualified,unqualified,76,76,address|category|downgrade_consistency,address|category|downgrade_consistency,risk,risk,soft_address_match_only,soft_address_match_only,True,True,"地址风险：门牌号不一致（21号 vs 1122号）。冲突样例：""南极路21号南华大厦附楼3层"" vs ""深圳市罗湖区南极路南华大厦附楼(党政办)；深圳市罗湖区沿河南路1122号（便民服务中心）""。",地址风险：地址仅形成软匹配。软匹配指道路一致但门牌缺失、门牌一致但道路别名不同，或存在类似“人民路/人民西路”的具体差异；解释中必须输出真实冲突点。,False,False,
2,90a95f18-beda-44b1-8e6e-f4b3c62fef08_goverment_20260326,DCC52D90D23C11EE84286805CACD826C,梅云街道办事处,揭阳市,广东省揭阳市榕城区吉荣路,risky,qualified,91,100,address,,risk,pass,single_exact_address_support,address_semantic_same_place,True,False,"地址风险：道路主干不一致（广东省揭阳市榕城区吉荣路 vs 吉荣路梅云街道）。冲突样例：""广东省揭阳市榕城区吉荣路"" vs ""吉荣路梅云街道办事处群英村民委员会""。",地址通过：语义补判认为地址仅存在行政前缀/简称差异，指向同一地点。,True,True,
3,a77ebad5-e7ef-45d9-87ef-be581eef79da_goverment_20260326,30440A0666CD11F08E470242AC100107,龙湖镇人民政府,潮州市,龙湖镇府前路一横街,risky,qualified,91,100,address,,risk,pass,,address_supported,,,地址支持但置信度0.80不足,地址通过：存在精确地址支持。精确支持指道路主干和门牌号都一致，允许省市区前缀省略，但不允许篡改真实冲突点。,True,True,
4,aef1bfd8-5b6a-49e2-8318-c8d03e8b798d_goverment_20260326,D326E350D23C11EE84286805CACD826C,潮州市湘桥区太平街道办事处,潮州市,广东省潮州市湘桥区太平路庆云里1号,risky,qualified,91,100,address,,risk,pass,single_exact_address_support,address_semantic_same_place,True,False,"地址风险：道路主干不一致（广东省潮州市湘桥区中山路与太平路 vs 广东省潮州市湘桥区太平路）。冲突样例：""广东省潮州市湘桥区中山路与太平路交叉口正北方向29米左右"" vs ""广东省潮州市湘桥区太平路庆云里1号""。",地址通过：语义补判认为地址仅存在行政前缀/简称差异，指向同一地点。,True,True,
5,2b412bbf-4cbf-4824-ae09-3b7de2b90b75_goverment_20260326,B66E6068154D11EFBFAE6805CACD826C,梅菉街道解放社区居民委员会,湛江市,新华中路梅菉中学东侧约40米,risky,qualified,86,95,address,,risk,pass,soft_address_match_only,address_semantic_same_place,True,False,"地址风险：道路主干不一致（广东省湛江市吴川市新华中路 vs 解放南路）。冲突样例：""广东省湛江市吴川市新华中路梅菉中学东侧约40米"" vs ""解放南路3号""。",地址通过：语义补判认为地址仅存在行政前缀/简称差异，指向同一地点。,True,True,
6,4821938d-e42e-475a-a5ec-5b94d3543aed_goverment_20260326,521D79CE587611F082C80242AC100107,深圳市南山区西丽街道办,深圳市,南山区留仙大道2015号西丽街道办事处大楼,risky,qualified,86,95,address,,risk,pass,single_exact_address_support,address_semantic_same_place,True,False,"地址风险：道路主干不一致（南山区留仙大道西丽街道 vs 南山区留仙大道2015号西丽街道）。冲突样例：""南山区留仙大道西丽街道办大楼"" vs ""南山区留仙大道2015号西丽街道办事处大楼""。",地址通过：语义补判认为地址仅存在行政前缀/简称差异，指向同一地点。,True,True,
7,82ad674b-1ad2-4c4d-b43c-0ce32f5befc1_goverment_20260326,B6907108154D11EFBFAE6805CACD826C,石井街道办事处,深圳市,坪葵路271号,risky,qualified,91,100,address,,risk,pass,soft_address_match_only,address_semantic_same_place,True,False,"地址风险：门牌号不一致（69号 vs 271号）。冲突样例：""荔景南路69号"" vs ""广东省深圳市坪山区石井街道坪葵路271号""。",地址通过：语义补判认为地址仅存在行政前缀/简称差异，指向同一地点。,True,True,
8,22bc234f-3c19-45c3-93c4-cdc78aa54a9e_goverment_20260326,D4D2E49E779A11EE92CF6805CACD826C,汕尾市人民政府,汕尾市,汕尾市城区汕尾大道429号,risky,qualified,91,100,address,,risk,pass,soft_address_match_only,address_semantic_same_place,True,False,"地址风险：主地址锚点不一致。冲突样例：""香洲街道东兴社区汕尾大道429号"" vs ""广东省汕尾市城区马思聪艺术中心东南""。",地址通过：语义补判认为地址仅存在行政前缀/简称差异，指向同一地点。,True,True,
9,a675a515-16f5-46f8-a4c6-cb1b309b43c4_goverment_20260326,E6BFA370D23C11EE84286805CACD826C,金和镇人民政府,揭阳市,广东省揭阳市揭西县金和镇金和大道73号,risky,qualified,91,100,address,,risk,pass,single_exact_address_support,address_semantic_same_place,True,False,"地址风险：道路主干不一致（金和大道 vs 道）。冲突样例：""金和镇金和大道73号"" vs ""237省道与540乡道交叉口东260米""。",地址通过：语义补判认为地址仅存在行政前缀/简称差异，指向同一地点。,True,True,
10,53d4f095-4ab3-4acf-99f4-7b1775b56195_goverment_20260326,EAAC8854D23C11EE84286805CACD826C,黄埠镇人民政府,惠州市,广东省惠州市惠东县黄埠镇王公村1号,risky,qualified,86,95,address,,risk,pass,soft_address_match_only,address_semantic_same_place,True,False,"地址风险：主地址锚点不一致。冲突样例：""黄埠镇王公村1号"" vs ""广东省惠州市惠东县黄埠镇王公村委1号""。",地址通过：语义补判认为地址仅存在行政前缀/简称差异，指向同一地点。,True,True,
11,e0c4522e-6113-42e0-bc1b-ce58c97b8033_goverment_20260326,EBE202A8D23C11EE84286805CACD826C,东莞市大岭山镇人民政府,东莞市,广东省东莞市大岭山镇德政街1号,risky,qualified,91,100,address,,risk,pass,soft_address_match_only,address_supported,True,,"地址风险：主地址锚点不一致。冲突样例：""{'full': '广东省东莞市大岭山镇德政街1号', 'street': '东莞市大岭山镇德政街', 'street_number': '1号'}"" vs ""{'full': '广东省东莞市大岭山镇'}""。",地址通过：存在精确地址支持。精确支持指道路主干和门牌号都一致，允许省市区前缀省略，但不允许篡改真实冲突点。,True,True,
